Judul,Deskripsi,Status,Link
 Imbauan Modus Kejahatan Dari Polri dan TNI AD,"“🇮 🇳 🇫 🇴

🇵 🇪 🇳 🇹 🇮 🇳 🇬
Info dari POLRI & TNI AD=
Sampaikan Pesan Ini Kepada Keluarga Dan Kawan_Kawan Anda?
Pesan Ini Ditujukan Kepada Setiap Pria Dan Wanita Yang Bepergian Sendirian Ke Kampus, Tempat Kerja Atau Kemana Saja.
Jika Kalian Menemukan Anak Menangis Di Jalan Dengan Menunjukkan Sebuah Alamat Dan Memintamu Untuk Mengantarnya Ke Alamat Tersebut, Bawalah Anak Itu Ke Kantor POLISI Atau Kantor KORAMIL Terdekat Dan Mohon JANGAN BAWA ANAK ITU KE ALAMAT Tersebut.. Ini Adalah Modus Baru PENJAHAT Untuk MERAMPOK, MEMPERKOSA, MENCULIK.
Mohon Informasikan Ke Semua Kawan_Kawan. Jangan Ragu Untuk Membagikan Pesan Ini Kepada Yang Lainnya. Pesan Ini Bisa Membantu Menyelamatkan Wanita Dan 0rang Yang Penting Dalam Hidup Anda.
INFO : HUMAS MABES POLRI & TNI, Karena Sudah Banyak Korban. Jadi Biarkan Polri & TNI Yang Mengantarkan Anak Itu Ke Alamat yg diminta anak tersebut.
AYO.. Dicopy Paste, Sebarkan Ke Group Manapun Yang Anda Punya, Partisipasi Anda Akan Menyelamatkan & Kehormatan Keluarga, Teman Kita, Maupun 0rang Lain. AYO Peduli Sesama.Tolong share ke group2 yang lain…terima kasih.`

HATI HATI WASPADA !”",Salah [Fabricated Content],https://cekfakta.com/focus/9824
 Lowongan Kerja PT Berau Coal,"“Dibutuhkan karyawan dan karyawati untuk bekerja di PT BERAU COAL ALAMAT BERAU
https[dot]tinyurl[dot]com/2s36zbv7
FAISLITAS:
-disediakan mess untuk yang siap merantau
-WIFI
-uang makan
-Gaji pokok menyesuaikan
-libur sistem
Untuk lebih lanjut chat
Segera daftarkan diri”",Salah [Fabricated Content],https://cekfakta.com/focus/9823
 Akun WhatsApp Wali Kota Malang Sutiaji “083870256204”,"“Perkenalkan saya dengan Bpk. Bpk. H. Sutiaji selaku wali kota malang untuk menyalurkan dana donasi kepada TPQ al-muhajirin dgn kegiatan pundi amal Pemkot Malang”
“Apakah TPQ AL muhajirin sudah d buatkan nomer rekening lembaga”
“Blm pak”
“Begini bpk.
Dana donasi bisa d salurkan melalui rekening lembaga atau bank BPD dan bank jatim”",Salah [Impostor Content],https://cekfakta.com/focus/9822
 Akun Whatsapp Wakil Wali Kota Malang Sofyan Edi Jarwoko “083822041010”,"“Assalamualaikum”
“Bisa bicara dengan pengurus/ketua pesantren mahasiswa firdaus”
“maaf ini dari mana ya”
“Saya H sofyan edi jarwoko bu ustadza selaku wakil walikota malang. Ini ada donasi untuk pesantren mahasiswa firdaus semoga berkah dan bermanfaat”
“oh inggih bapak.
ngapunten baru baca”
“untuk rekening yayasan apa sudah di buatkan”
“kami menggunakan rekening bendahara”",Salah [Impostor Content],https://cekfakta.com/focus/9821
" Surat Penetapan Penjabat Gubernur Papua Barat Mengatasnamakan Deputi Bidang Administrasi Aparatur, Kementerian Sekretariat Negara","“Nomor : B-170/Kemensetneg/D-3/AN.00.00/01/2022 Jakarta, 26 April 2022
Sifat : Biasa
Lampiran : Satu berkas
Hal : Keputusan Presiden RI Nomor 10/P Tahun 2022

Yth. Menteri Dalam Negeri
di
Jakarta

Dengan hormat kami beritahukan bahwa berdasarkan Keputusan Presiden RI Nomor 10/P Tahun 2022 tanggal 26 April 2022 akan ditetapkan:
a. Pengesahan pemberhentian dengan hormat sdr. Drs. Dominggus Mandacan sebagai Gubernur Papua Barat Masa Jabatan Tahun 2017-2022 dan Sdr. Mohammad Lakotani, SH, M.Si, sebagai Wakil Gubernur Papua Barat Sisa Masa Jabatan Tahun 2017-2022.
“b. pengangkatan Dr. Zudan Ani Fakrulloh, SH., MH., Direktur Jenderal Kependudukan dan Pencatatan Sipil sebagai Penjabat Gubernur Papua Barat.
Sehubungan dengan hal tersebut di atas, bersama ini kami sampaikan Salinan Keputusan Presiden dimaksud, untuk dapat dipergunakan sebgaimana mestinya.
Atas perhatian Bapak, kami ucapan terima kasih.

Deputi Bidang Administrasi Aparatur,

Cecep Sutiawan”",Salah [Fabricated Content],https://cekfakta.com/focus/9820
 Spanduk McDonalds Bertuliskan “Hey Crypto Bro’s WE ARE HIRING”,“Hey Crypto Bro’s WE ARE HIRING”,Salah [Manipulated Content],https://cekfakta.com/focus/9819
: 212 Mart Adalah Sponsor Resmi ajang Formula E,"Sebuah akun Facebook mengunggah postingan berupa narasi yang mengklaim bahwa 212 Mart merupakan sponsor resmi ajang balap Formula E yang akan dilangsungkan di Jakarta pada Juni 2022 mendatang.

[NARASI]:

“Mart 212 adalah Sponsor Resmi Ajang formula E
moga sukses membawa nama harum DKI & Negara keajang international.
#cebong semaput”",Salah [Misleading Content],https://cekfakta.com/focus/9818
 “Innalilahi wainnailaihi Rojiun … Tragis Lettu Marinir Muhammad Ikbal Gugur Ditembak KKB Saat Sujud Sholat Isya”,Beredar artikel berjudul “Innalilahi wainnailaihi Rojiun … Tragis Lettu Marinir Muhammad Ikbal Gugur Ditembak KKB Saat Sujud Sholat Isya” yang terbit di situs kompasnews[dot]xyz pada 5 Mei 2022.,Salah [Misleading Content],https://cekfakta.com/focus/9817
 Berita CNN “Anggota Polisi Ini Dimutasi ke Papua Barat karena Anaknya Hina Idol K-Pop”,"Akun Twitter dengan nama pengguna “alpokatmentega” mengunggah sebuah foto hasil tangkapan layar dari berita CNN Indonesia yang berjudul “Anggota Polisi Ini Dimutasi ke Papua Barat karena Anaknya Hina Idol K-Pop”. Berdasarkan foto tersebut, berita tersebut diunggah pda 19 Mei 2022 pukul 09.24 WIB.

NARASI:

“Anggota Polisi Ini Dimutasi ke Papua Barat karena Anaknya Hina Idol K-Pop”",Salah [Manipulated Content],https://cekfakta.com/focus/9816
 Umat Muslim Memblokade Jalanan di Perancis dengan Salat Berjamaah,"Beredar postingan di Twitter oleh akun bernama @KreatelyMedia, memposting sebuah video memperlihatkan umat muslim yang sedang salat berjamaah di jalanan. Kegiatan salat tersebut tampak memblokade jalanan. Selain itu video tersebut juga disertai backsound suara adzan. @KreatelyMedia memberikan narasi bahwa kejadian tersebut adalah upaya umat islam untuk memblokade jalanan di Perancis.

NARASI:
25 tahun yang lalu, Prancis mempelajari ‘Liberal-Kemanusiaan’… Sekarang sedang mendapatkan ‘pelajaran’. Warga Prancis pada tidak ada ruang untuk berjalan.

*video umat muslim salat berjamaah di jalanan",Salah [Misleading Content],https://cekfakta.com/focus/9815
 “Wow Akhirnya Kang Elon Musk Bikin Tweet Kunjungan Presiden Jokowi”,"Beredar postingan di Twitter oleh akun bernama @PelatihBart yang memposting sebuah hasil screenshoot dari akun Twitter Elon Musk (@elonmusk). Screenshoot tersebut memperlihatkan Elon Musk memposting tweet dengan narasi bahwa ia bertemu Presiden Jokowi untuk membahas pengiriman k3cebong ke planet Pluto. @PelatihBart juga menambahkan narasi dalam postingannya terkait kabar baik bahwa Elon Musk akhirnya memposting kabar pertemuannya dengan Presiden Jokowi.

Postingan @PelatihBart muncul di tengah pemberitaan mengenai kegiatan Presiden Jokowi dalam kunjungannya ke SpaceX dan bertemu langsung dengan Elon Musk. Namun, yang sedang ramai diperbincangkan oleh netizen adalah, hingga 16 Mei 2022 tidak ada postingan Twitter dari Elon Musk yang membahas pertemuannya dengan Jokowi.",Salah [Fabricated Content],https://cekfakta.com/focus/9814
 Video Anak Dinosaurus Berkeliaran,"Beredar sebuah postingan oleh akun bernama @ZombieAviator, memposting sebuah video memperlihatkan kumpulan hewan yang menyerupai dinosaurus kecil, berjalan melewati genangan air. @ZombieAviator memberikan narasi bahwa hewan tersebut adalah dinosaurus.

NARASI:
Dinosaurs born again!!!

*video hewan menyerupai dinosaurus berjalan melewati genangan air",Salah [False Context],https://cekfakta.com/focus/9813
 Berita CNN tentang Dokter Terawan yang Menemukan Pengganti Insulin,"Akun Facebook dengan nama pengguna “Arthur Mumu” (https://www.facebook.com/profile.php?id=100073022042445) mengunggah dua buah foto hasil tangkapan layar dari berita CNN Indonesia yang memberitakan bahwa Dokter Terawan berhasil menemukan pengganti insulin.

NARASI:

“Seorang ilmuwan terkenal telah menemukan produk yang menggantikan aksi insulin. Dialah Dokter Terawan. Sukses terus, TUHAN Memberkati Pak Dokter Terawan…”",Salah [Fabricated Content],https://cekfakta.com/focus/9812
 Gambar Tangkapan Layar Artikel Kompas.com “Jokowi beri isyarat nempak nya akan mundur sehabis lebaran ini. Kegagalan membayar Utang dan kemarahan rakyat akibat kabinet nya gagal kelola negara adalag Faktor utama nya”,"Akun Facebook MaryKusuma Rengganis II pada 9 Mei 2022 pukul 13.03 memposting sebuah gambar tangkapan layar artikel milik Kompas.com. Artikel tersebut berjudul “Jokowi beri isyarat nempak nya akan mundur sehabis lebaran ini. Kegagalan membayar Utang dan kemarahan rakyat akibat kabinet nya gagal kelola negara adalag Faktor utama nya”.

Akun Facebook MaryKusuma Rengganis II pada 9 Mei 2022 pukul 13.03 memposting sebuah gambar tangkapan layar artikel milik Kompas.com. Artikel tersebut berjudul “Jokowi beri isyarat nempak nya akan mundur sehabis lebaran ini. Kegagalan membayar Utang dan kemarahan rakyat akibat kabinet nya gagal kelola negara adalag Faktor utama nya”.",Salah [Fabricated Content],https://cekfakta.com/focus/9811
  Foto Seorang Lelaki Tetap Salat Meski Tentara Israel Membakarnya,"Cek Fakta Liputan6.com mendapati klaim foto lelaki tetap meneruskan salat meski tentara Israel membakarnya. Foto tersebut beredar lewat aplikasi percakapan WhatsApp.

Klaim foto lelaki tetap meneruskan salat meski tentara Israel membakarnya berupa tangkapan layar unggahan salah satu akun Facebook.

Unggahan tersebut menampilkan sebuah foto artikel yang berisi benda menyerupai tubuh manusia sedang duduk dan terbakar.

Dalam foto tersebut juga terdapat dua pasang kaki sedang berdiri mengenakan celana abu-abu, salah satu dari orang tersebut terlihat membawa benda menyerupai senapan.

Artikel tersebut berjudul:

""KINI VIRAL : Subhanallah, Lelaki Ini Tetap Meneruskan Solatnya Meskipun Dibakar...""

Foto tersebut diberi keterangan sebagai berikut.

""Subhanallah, lelaki Ini Tetap Meneruskan Solatnya Meskipun Dibakar Hidup-Hidup oleh tentara Israel. Lihatlah Keteguhan Iman Dia Kepada Yang Maha Kuasa... Jika anda seorang MUSLIM jgn LUPA SHARE artikel ini supaya ramai tahu kekejaman ISRAEL ini.""",Salah [Misleading Content],https://cekfakta.com/focus/9810
: Botol Minuman Yang Dipegang Jokowi Dan Elon Musk Merupakan Alat Penerjemah Canggih,"Sebuah akun Facebook mengunggah foto yang memperlihatkan Presiden Jokowi dan Elon Musk sedang berbincang. Dalam foto tersebut terlihat baik Jokowi dan Elon Musk memengang botol air minum dan diklaim merupakan alat penerjemah canggih buatan perusahaan Elon Musk.

[NARASI]:

“Kabarnya yang dipegang bapak Presiden Jokowi dan Elon Musk itu bukan botol minuman, melainkan alat penerjemah canggih buatan perusahaan Elon Musk.

Semua ucapan mereka langsung diterjemahkan secara otomatis oleh alat itu.

Bila ini benar maka bisa jadi profesi penerjemah dan buku kamus sebentar lagi semakin berkurang, tetapi setiap orang bisa saling berkomunikasi dengan baik”.",Salah [Misleading Content],https://cekfakta.com/focus/9809
: Rumah Ustadz Abdul Somad Terbakar,"Sebuah akun Facebook mengunggah video yang memperlihatkan Ustadz Abdul Somad tengah memantau sebuah kondisi rumah yang ludes terbakar. Dalam postingan tersebut terdapat narasi bahwa rumah yang terbakar itu merupakan rumah UAS yang ada di Pekanbaru.

[NARASI]:

“Kondisi Rumah UAS Setelah Kebakaran”",Salah [False Context],https://cekfakta.com/focus/9808
"Keliru, CNN Indonesia Mempromosikan Obat Diabetes dari Terawan Agus Putranto","
Sebuah situs yang beralamat di  josephpsmith.store  memuat konten promosi obat diabetes yang diklaim dikembangkan oleh mantan Menteri Kesehatan Terawan Agus Putranto. 
Konten tersebut  berupa artikel tanya-jawab dalam halaman Facebook CNN Indonesia, serta memuat foto wawancara Terawan dengan CNN, yang dipublikasikan pada 18 April 2022. 
Artikel tersebut memuat sejumlah klaim, bahwa Terawan adalah dokter spesialis pengobatan diabetes di Indonesia yang telah menyelamatkan ribuan nyawa. Dia kemudian diklaim meluncurkan program “Indonesia tanpa diabetes”
Artikel itu menyebut jika satu-satunya penyebab diabetes adalah kurangnya kalium dalam tubuh!
Tangkapan layar unggahan di media sosial dengan klaim CNN Indonesia mempromosikan obat diabetes dari Terawan Agus Putranto",Salah [-],https://cekfakta.com/focus/9807
